Name,Notes,Section,Priority,Estimate (d)
"Stock detail + order ticket UI","Search, ResearchChart, key stats, news, position card, order ticket (types, qty, limit/stop, TIF, trade-thesis journaling), review->confirm->post-trade scoring. Prototype: s_stock.jsx. AC: matches prototype.","Paper Trading",High,4
"Order history","All/Open/Filled/Cancelled with journaled thesis inline; cancel open orders. Prototype: s_orders.jsx. AC: matches prototype.","Paper Trading",Low,1
"Tilt / overtrading guardrails","Detect rapid trading / loss-chasing; show nudge + optional timeout. Prototype nudge: s_trade.jsx / ticket review. AC: configurable thresholds; logged.","Paper Trading",Medium,2
"Trade-quality scoring + XP","Reward discipline (journaled thesis, price-controlled order, measured pace) not churn. Prototype: OrderTicket done-stage. AC: score + XP per fill.","Paper Trading",Medium,2
"Options chain data + pricing","Expiries + strikes around spot with a premium model. Prototype: s_options.jsx (intrinsic+time-value stub). AC: chain API; reasonable premiums.","Options",Medium,3
"Options multi-leg builder + payoff","Tap-to-add legs, long/short, net debit/credit, payoff curve (DS PayoffDiagram). Prototype: s_options.jsx. AC: matches prototype.","Options",Medium,3
"Wire options into positions / P&L","Options are a standalone concept in the prototype; integrate into the trade store so option positions affect buying power + P&L. AC: option fills appear in positions; P&L correct at expiry.","Options",Medium,3
"Clubs data model","Clubs + membership (a user belongs to many clubs and friend circles). Prototype: s_clubs.jsx. AC: many-to-many; roles; privacy of holdings.","Social & Clubs",Medium,3
"Club + friend leaderboards","Per-club and friends standings tied to weekly returns. AC: consistent with global league rules.","Social & Clubs",Low,2
"Invite friends / create club flows","Replace prototype stubs with real invites (link/contacts) + club creation. Prototype: s_clubs.jsx. AC: invite link works; club created with members.","Social & Clubs",Low,3
"Weekly trading challenge","Best paper return wins; ties into league. Framed as play-smart. AC: cohort + reset + rewards defined.","Social & Clubs",Low,2
"Auth + SSO","Google, Apple, Microsoft, GitHub, and company SSO (SAML). Prototype: s_auth.jsx. AC: each provider signs in; session persisted; profile fields captured.","Account & Nav",High,5
"Settings sub-pages","Account, Notifications (reminder time + toggles), Plan & billing (Free/Pro), Appearance, Security. Prototype: s_settings.jsx. AC: each pane persists.","Account & Nav",Medium,3
"Global search","Symbols + lessons + glossary terms; trending + empty/loading/error states. Prototype: s_search.jsx. AC: ranked results; deep-links.","Account & Nav",Low,2
"Notifications inbox","Typed feed (price/learning/social), read/unread, filters, mark-all-read, deep-links. Prototype: s_alerts.jsx. AC: realtime-ish; matches prototype.","Account & Nav",Low,2
"Legal / About pages","About, Terms, Privacy. Replace placeholder copy with legal-approved text. Prototype: s_legal.jsx. AC: final copy; linked from auth + footer.","Account & Nav",Low,1
"Mobile responsive layouts","Phone layouts for Today, Lesson, Invest, Stock. Prototype: site-system/Stax Mobile.html + m_screens.jsx. AC: core loop usable at 390px; 44px hit targets.","Mobile",Medium,5
"Bottom tab navigation","Today / Learn / Invest / You tab bar on mobile. Prototype: m_screens.jsx (MTabBar). AC: routes between core screens.","Mobile",Low,1
"Mobile chart touch interactions","ResearchChart with touch crosshair, pinch-zoom, tap tools on mobile. AC: usable on touch; no jank.","Mobile",Medium,3
"Empty / loading / error states","Define + build across screens (empty portfolio, loading quotes, failed order, no results, offline). AC: every async surface has all three states.","Cross-cutting",Medium,3
